PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
4zt5Y,r1bqk2r/1ppp2pp/p1n2p2/2b1p3/P1P1P3/2N2N1P/1PP2PP1/R1BQ1RK1 b kq - 0 10,e8g8 d1d5 f8f7 d5c5,1155,74,95,6784,advantage fork opening short,https://lichess.org/ay3dmhKf/black#Some(19),Italian_Game Italian_Game_Giuoco_Piano
YRQ8X,5rk1/1ppnq1p1/1p5p/6pn/4P3/2P3BP/P1Q3P1/R3R1K1 w - - 2 23,g3c7 e7c5 g1h1 c5c7,1141,74,99,3069,crushing fork middlegame short,https://lichess.org/jh4dbnHh#Some(44),
bQk25,r1bqrbk1/1pp2ppp/p1np1n2/4p1N1/2P5/PPNBP3/1BQP1PPP/R3K2R b KQ - 1 10,h7h6 d3h7 f6h7 c2h7,1078,76,99,1404,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Ap2SLHmd/black#Some(19),Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
9zD5O,3Q4/2R2p1k/2p5/8/2rB1Kq1/6P1/4bP1P/8 w - - 3 45,f4e3 g4f3 e3d2 f3d3 d2e1 c4c1,1256,75,95,16722,endgame exposedKing long mate mateIn3,https://lichess.org/l9fBxeaN#Some(88),
SkU3K,r4rk1/ppp3pp/3q2p1/1Q1p1p2/3P4/2P1P3/P1P2PPP/R4RK1 w - - 0 15,b5b7 f8b8 b7b8 a8b8,1402,75,96,135,advantage endgame short trappedPiece,https://lichess.org/f8JiJe22#Some(28),Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
8D70b,r2qk2r/1pp2pp1/1p1p3p/4p2b/1PBnP1n1/P2P1N1P/2P2P2/R1BQ1RK1 w kq - 0 13,h3g4 h5g4 f3d4 g4d1,1313,75,98,429,advantage middlegame short,https://lichess.org/eHQmZWnM#Some(24),Italian_Game Italian_Game_Giuoco_Piano
HtzRr,r1bqk2r/pp3ppp/2nb4/2pQ4/8/5N2/PPPP1PPP/RNB1K2R w KQkq - 0 9,e1g1 d6h2 f3h2 d8d5,1072,76,97,2303,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/04UiIJqQ#Some(16),Sicilian_Defense Sicilian_Defense_Bowdler_Attack
fSrNS,2r3k1/1b3pp1/3Pp3/1qN1P2p/1p6/3P3P/3Q1BP1/KR6 w - - 0 31,d2b4 c8a8 b4a4 a8a4,1434,75,96,21947,crushing middlegame short,https://lichess.org/XUyZpmxq#Some(60),
WKvJN,r4r2/ppp2kpQ/3p2R1/5P2/2nqP3/2N5/PPP5/2K3NR w - - 5 24,c3d5 d4d2 c1b1 d2e1,1069,75,100,304,mate mateIn2 middlegame queensideAttack short,https://lichess.org/N2j3V2ZS#Some(46),
BuCsZ,2br1r2/1p4R1/p2P1p2/5q1k/6R1/6BP/1PQ3P1/7K b - - 0 37,f5c2 g4h4,1312,78,100,166,mate mateIn1 middlegame oneMove,https://lichess.org/90i1PYGj/black#Some(73),
odvuB,r1b2rk1/pp1p1pp1/7p/8/2PP3q/P1P1P3/6PP/R2QKB1R w KQ - 1 15,g2g3 h4e4 e1d2 e4h1,1345,74,98,1839,advantage middlegame short,https://lichess.org/AgztWTOE#Some(28),Zukertort_Opening Zukertort_Opening_Sicilian_Invitation
Bnuat,5rk1/2N2ppp/8/3p3n/P2Q2P1/4RP2/2q2K1P/8 w - - 10 38,e3e2 c2c7 g4h5 c7h2,1173,75,96,6616,advantage endgame short,https://lichess.org/vTyH4ZhU#Some(74),
05Kbg,1Rb1r1k1/5p2/3p2p1/4b2p/2Pp3P/3P1BPq/3BPP2/3Q2K1 w - - 4 30,d1f1 h3f1 g1f1 c8h3,1465,77,95,13856,attraction crushing kingsideAttack master middlegame short,https://lichess.org/XvjHJFhh#Some(58),
8szZd,3r1r1k/pp4q1/2p1pR1p/2b1P3/2p4Q/2P5/PPP3PP/1K3R2 b - - 8 24,g7g5 f6h6 g5h6 h4h6,1288,76,96,966,advantage kingsideAttack middlegame short,https://lichess.org/nzPLuQPO/black#Some(47),
z4fHy,4r1kb/3Q1p1p/2p2Pp1/p2pP3/3P4/2N5/Pr3R1P/2q1BR1K b - - 0 26,b2f2 d7e8,1194,76,96,761,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/8sMpYeMi/black#Some(51),
4QfVn,3rr1k1/ppp2p2/5qpp/P2Q4/1P1P4/2PB1P1b/5P1P/R5RK w - - 4 25,g1g6 f6g6 d3g6 d8d5,1024,75,100,207,advantage middlegame short,https://lichess.org/ErdxdyCk#Some(48),
RGPj8,2Br2k1/pp3p1p/3p2p1/3Q4/4P3/2q3P1/P4P1P/3Rn2K w - - 0 24,c8b7 c3f3 h1g1 f3g2,1093,75,96,3521,endgame mate mateIn2 short,https://lichess.org/X6fOocbo#Some(46),
