PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
VRzz5,2r5/1R6/4kNq1/4P1p1/1p1PP3/4K1P1/1P5P/5b2 b - - 0 43,f1g2 d4d5 e6e5 f6g4 e5d6 b7b6 d6c5 b6g6,2208,76,95,794,advantage endgame exposedKing skewer veryLong,https://lichess.org/elCmPadK/black#Some(85),
vTN26,8/8/5pKp/5Pb1/1pN2k2/1P6/P7/8 w - - 2 52,c4a5 f4g4 a5c6 h6h5 c6b4 h5h4,2222,75,97,292,crushing defensiveMove endgame long quietMove,https://lichess.org/1nHrQCsx#Some(102),
rhKWk,r7/p1q1k3/2p1b2Q/4p1N1/7P/4R3/PP6/5K2 b - - 0 29,a8f8 h6f8 e7f8 g5e6 f8e7 e6c7,2052,76,96,4640,attraction crushing endgame exposedKing fork long,https://lichess.org/UeqNacBy/black#Some(57),
hLjGB,8/5ppk/8/1R2p1q1/5n1p/2P2Q2/P4PP1/6K1 w - - 0 33,f3e4 f7f5 b5e5 f4h3 g1f1 f5e4 e5g5 h3g5,2017,74,95,9144,advantage defensiveMove endgame pin veryLong,https://lichess.org/vgj3ryin#Some(64),
WKDGY,r2r3k/ppq1bQ2/2p1R1p1/3n4/2B5/3P3P/PPPB1PP1/6K1 b - - 0 20,e7g5 d2c3 d5c3 f7c7,2264,75,97,110,crushing deflection middlegame short,https://lichess.org/2Ktbq2qU/black#Some(39),
7f5So,r3k2r/2Rb4/p2p1qp1/1p1Pp2p/3pP3/1P1P1P2/P1Q3P1/4KB1R b Kkq - 1 18,e8e7 c7d7 e7d7 c2c6 d7e7 c6b7 e7f8 b7a8,2106,75,96,4236,advantage attraction interference middlegame sacrifice veryLong,https://lichess.org/jDNAk04a/black#Some(35),Sicilian_Defense Sicilian_Defense_Other_variations
nRLpu,5rk1/3Q1pp1/8/3BP2q/8/P5P1/1r3P2/4R1K1 b - - 0 29,b2e2 d5f7 f8f7 d7e8 f7f8 e8h5 e2e1 g1g2,2119,75,95,1512,crushing endgame fork sacrifice veryLong,https://lichess.org/oTxN2kgB/black#Some(57),
lpnGw,8/8/5b2/5ppp/1pNk4/1P3K1P/2P3P1/8 w - - 1 41,g2g4 f5g4 h3g4 h5h4,2148,75,95,2205,crushing defensiveMove endgame short,https://lichess.org/lghEbLAl#Some(80),
BXlz0,8/6K1/5p1p/4kP2/3N4/8/8/8 b - - 0 48,e5d4 g7f6 h6h5 f6g5 d4e5 f5f6 e5e6 g5g6 h5h4 f6f7 e6e7 g6g7,2249,84,98,42,advancedPawn crushing defensiveMove endgame pawnEndgame veryLong,https://lichess.org/0y4ZnY3t/black#Some(95),
YumKP,r2r2k1/p2R1ppp/1p3q2/8/6Q1/1P5P/P4PP1/3R2K1 b - - 0 20,g7g6 g4f3 d8d7 f3a8 g8g7 d1d7 f6a1 g1h2,2224,86,100,31,crushing endgame intermezzo veryLong,https://lichess.org/lILKZvYK/black#Some(39),
T9bRi,8/5n2/7p/2bK1p2/1k3P1P/2p3P1/2R5/8 b - - 0 46,b4b3 c2c3 b3c3 d5c5 c3d3 c5d5 d3e3 d5e6,2120,257,100,6,endgame equality veryLong,https://lichess.org/3sm12D0U/black#Some(91),
IBpXW,6rk/pp1Q3p/3p3B/2p1b3/2PpP3/1PqP3P/P5B1/5RK1 w - - 3 25,f1f7 c3e1 f7f1 g8g2 g1g2 e1g3 g2h1 g3h2,2108,76,95,11874,attraction exposedKing kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/96NMkK6a#Some(48),
Csmpm,2rr2k1/p3qppp/4pb2/8/P1bN4/4PQ1P/1B1R1PP1/4R1K1 b - - 3 23,e6e5 d4c6 d8d2 c6e7,2051,76,96,1846,crushing fork middlegame short,https://lichess.org/ArkJU4i4/black#Some(45),
yTGKC,5rk1/pb4p1/1p2p1p1/2b5/6P1/2P4R/P6P/3Q1K2 w - - 6 31,f1e2 b7a6 h3d3 f8d8 d1a4 a6d3,2258,75,96,1175,advantage endgame long pin,https://lichess.org/2WX3s6EX#Some(60),
